symbol,atomic_number,boil,density,electron_affinity,electronegativity,element,group,heat,ionization_energy_1,ionization_energy_10,ionization_energy_11,ionization_energy_12,ionization_energy_13,ionization_energy_14,ionization_energy_15,ionization_energy_16,ionization_energy_17,ionization_energy_18,ionization_energy_19,ionization_energy_2,ionization_energy_20,ionization_energy_21,ionization_energy_22,ionization_energy_23,ionization_energy_24,ionization_energy_25,ionization_energy_26,ionization_energy_27,ionization_energy_28,ionization_energy_29,ionization_energy_3,ionization_energy_30,ionization_energy_4,ionization_energy_5,ionization_energy_6,ionization_energy_7,ionization_energy_8,ionization_energy_9,melt,name,period,radius_calc,radius_emp,radius_vdw,radius_covalent,radius_covalent_trip
H,1,20.28,8.988e-05,0.7543925,2.2,Hydrogen,1.0,14.304,1312.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.01,hydrogen,1.0,53.0,25.0,120.0,38.0,
He,2,4.22,0.0001785,-19.7,,Helium,18.0,5.193,2372.3,,,,,,,,,,,5250.5,,,,,,,,,,,,,,,,,,,0.956,helium,1.0,31.0,31.0,140.0,32.0,
Li,3,1560.0,0.534,0.618049,0.98,Lithium,1.0,3.582,520.2,,,,,,,,,,,7298.1,,,,,,,,,,,11815.0,,,,,,,,453.69,lithium,2.0,167.0,145.0,182.0,134.0,
Be,4,2742.0,1.85,-2.4,1.57,Beryllium,2.0,1.825,899.5,,,,,,,,,,,1757.1,,,,,,,,,,,14848.7,,21006.6,,,,,,1560.0,beryllium,2.0,112.0,105.0,153.0,90.0,85.0
B,5,4200.0,2.34,0.279723,2.04,Boron,13.0,1.026,800.6,,,,,,,,,,,2427.1,,,,,,,,,,,3659.7,,25025.8,32826.7,,,,,2349.0,boron,2.0,87.0,85.0,192.0,82.0,73.0
C,6,4300.0,2.267,1.262118,2.55,Carbon,14.0,0.709,1086.5,,,,,,,,,,,2352.6,,,,,,,,,,,4620.5,,6222.7,37831.0,47277.0,,,,3800.0,carbon,2.0,67.0,70.0,170.0,77.0,60.0
N,7,77.36,0.0012506,-1.4,3.04,Nitrogen,15.0,1.04,1402.3,,,,,,,,,,,2856.0,,,,,,,,,,,4578.1,,7475.0,9444.9,53266.6,64360.0,,,63.15,nitrogen,2.0,56.0,65.0,155.0,75.0,54.0
O,8,90.2,0.001429,1.4611087999999999,3.44,Oxygen,16.0,0.918,1313.9,,,,,,,,,,,3388.3,,,,,,,,,,,5300.5,,7469.2,10989.5,13326.5,71330.0,84078.0,,54.36,oxygen,2.0,48.0,60.0,152.0,73.0,53.0
F,9,85.03,0.001696,3.4011895,3.98,Fluorine,17.0,0.824,1681.0,,,,,,,,,,,3374.2,,,,,,,,,,,6050.4,,8407.7,11022.7,15164.1,17868.0,92038.1,106434.3,53.53,fluorine,2.0,42.0,50.0,147.0,71.0,53.0
Ne,10,27.07,0.0008999,,,Neon,18.0,1.03,2080.7,131432.0,,,,,,,,,,3952.3,,,,,,,,,,,6122.0,,9371.0,12177.0,15238.0,19999.0,23069.5,115379.5,24.56,neon,2.0,38.0,38.0,154.0,69.0,
